3.0279,24,6300,388.12
4.8937,24,6800,247.39
3.9317,24,6800,297.39
2.8628,24,6800,347.39
1.7574,24,6800,397.39
19.067,26,1950,132.48
17.52,26,1950,182.48
16.847,26,2450,148.49
15.323,26,2450,198.49
14.806,26,2950,162.94
13.555,26,2950,212.94
12.677,26,2950,262.94
13.084,26,3450,176.21
12.106,26,3450,226.21
11.353,26,3450,276.21
11.643,26,3950,188.55
10.795,26,3950,238.55
10.04,26,3950,288.55
10.362,26,4450,200.12
9.506,26,4450,250.12
8.7234,26,4450,300.12
9.135,26,4950,211.07
8.2425,26,4950,261.07
7.4308,26,4950,311.07
7.9229,26,5450,221.47
7.0009,26,5450,271.47
6.1704,26,5450,321.47
6.7215,26,5950,231.41
5.8078,26,5950,281.41
4.9135,26,5950,331.41
3.8553,26,5950,381.41
5.5655,26,6450,240.94
4.6519,26,6450,290.94
3.6813,26,6450,340.94
2.6601,26,6450,390.94
4.4397,26,6950,250.1
3.5152,26,6950,300.1
2.4858,26,6950,350.1
1.5023,26,6950,400.1
3.3529,26,7450,258.94
2.4341,26,7450,308.94
1.3631,26,7450,358.94
0.34923,26,7450,408.94
18.014,28,2100,137.48
16.376,28,2100,187.48
15.772,28,2600,152.97
14.417,28,2600,202.97
13.44,28,2600,252.97
13.916,28,3100,167.03
12.853,28,3100,217.03
12.099,28,3100,267.03
12.358,28,3600,180
11.508,28,3600,230
10.789,28,3600,280
11.031,28,4100,192.09
10.226,28,4100,242.09
9.4767,28,4100,292.09
9.7942,28,4600,203.47
8.9525,28,4600,253.47
8.1893,28,4600,303.47
8.5759,28,5100,214.24
7.7089,28,5100,264.24
6.9325,28,5100,314.24
7.3873,28,5600,224.5
6.5073,28,5600,274.5
5.6936,28,5600,324.5
6.2259,28,6100,234.31
5.3516,28,6100,284.31
4.4564,28,6100,334.31
3.4451,28,6100,384.31
5.1011,28,6600,243.72
4.2204,28,6600,293.72
3.2555,28,6600,343.72
2.2502,28,6600,393.72
4.0143,28,7100,252.78
